"priority_rank","priority_tier","company_or_person","region","country","city","type_or_size","specialty","why_promising","website","contact_email","instagram","contact_confidence","research_source_url","email_subject","email_body"
"1","A+","3DQ Studio","Europe","Spain","Valencia","Boutique studio (1–10)","High-end architectural visualization; exterior/interior CGI and animation","your careers page says you are always open to talented 3D artists with backgrounds in architecture, interiors, or photography","https://3dq.studio/","contact@3dq.studio","","High","https://3dq.studio/","3D visualization support for 3DQ Studio","Hi 3DQ Studio team,

I’m [name], a 3D artist focused on architectural visualization, especially exterior/interior imagery and 3ds Max-based workflows. I’m reaching out because your careers page says you are always open to talented 3D artists with backgrounds in architecture, interiors, or photography.

If you ever need extra capacity, I can take on a self-contained part of a high-end architectural visualization; exterior/interior cgi and animation project and work to your references, naming conventions and feedback process.

If it is useful, I’d be happy to complete a small, clearly scoped test assignment; I’m also open to an unpaid test if that is your normal evaluation process. My portfolio is here: [portfolio]. If my work looks relevant, please send me a task or tell me what you would want to test first.

Best regards,
[name]"
"2","A+","ARTMULTIPLY","Asia","India","Gurugram","Visualization studio (20–50)","Architectural CGI, interiors/exteriors, 3ds Max/Corona production","your careers page specifically looks for 3D artists working with 3ds Max, Corona Renderer, and Photoshop","https://www.artmultiply.com/","info@artmultiply.com","","High","https://www.artmultiply.com/careers","Portfolio + a small trial task for ARTMULTIPLY","Hi ARTMULTIPLY team,

My name is [name]. I work in architectural visualization with a focus on exterior and interior scenes and 3ds Max production. I wanted to contact you specifically because your careers page specifically looks for 3D artists working with 3ds Max, Corona Renderer, and Photoshop.

My goal is to become the kind of external artist you can delegate a specific scene or image to when your internal team is busy, while keeping your creative direction and workflow intact.

If it is useful, I’d be happy to complete a small, clearly scoped test assignment; I’m also open to an unpaid test if that is your normal evaluation process. My portfolio is here: [portfolio]. If my work looks relevant, please send me a task or tell me what you would want to test first.

Thanks for taking a look,
[name]"
"3","A+","ArchLane CG","Asia","India","New Delhi","Small studio (1–10)","Cinematic architectural visualization; exterior/interior CGI","you recently advertised both senior and mid-level 3D Artist roles, including a remote option, and your work emphasizes cinematic lighting and refined materials","https://www.thearchlane.com/","info@thearchlane.com","@thearchlane","High","https://in.linkedin.com/in/aayush-verma-9a54b2a3","Freelance archviz support — ArchLane CG","Hi ArchLane CG team,

I’m [name], and I’m looking to contribute to strong architectural visualization teams on a project or trial basis. ArchLane CG stood out to me because you recently advertised both senior and mid-level 3D Artist roles, including a remote option, and your work emphasizes cinematic lighting and refined materials.

I’d be glad to help with a clearly defined part of your cinematic architectural visualization; exterior/interior cgi pipeline—modeling, scene setup, materials, lighting, camera work, rendering or revisions—depending on what is most useful to you.

If it is useful, I’d be happy to complete a small, clearly scoped test assignment; I’m also open to an unpaid test if that is your normal evaluation process. My portfolio is here: [portfolio]. If my work looks relevant, please send me a task or tell me what you would want to test first.

Thanks — I’d be glad to hear what would be most useful to test.
[name]"
"4","A+","In-Between Studio","United States","USA","Miami","Small studio (1–10)","Architectural visualization, CGI and real-time/Unreal work","your studio has listed remote Senior 3D Artist and Unreal Engine opportunities, which suggests you are comfortable evaluating remote talent","https://www.in-betweenstudio.com/","info@in-betweenstudio.com","","High","https://www.in-betweenstudio.com/pages/about.html","Could I help with overflow 3D work at In-Between Studio?","Hi In-Between Studio team,

I’m [name], a 3D visualization artist working with architectural exteriors, interiors and 3ds Max-based scenes. Rather than sending a generic application, I’m writing because your studio has listed remote Senior 3D Artist and Unreal Engine opportunities, which suggests you are comfortable evaluating remote talent.

I’m not asking you to commit to a full role. I’d prefer to prove fit through a small real production task related to architectural visualization, cgi and real-time/unreal work, with clear inputs, deadline and review criteria.

If it is useful, I’d be happy to complete a small, clearly scoped test assignment; I’m also open to an unpaid test if that is your normal evaluation process. My portfolio is here: [portfolio]. If my work looks relevant, please send me a task or tell me what you would want to test first.

Thank you for your time,
[name]"
"5","A+","Trim Render","United States","USA","Miami","Boutique visualization studio","Exterior/interior rendering, walkthroughs, virtual tours and floor plans","your contact page explicitly includes both job opportunities and B2B collaboration, which makes a small trial or overflow assignment especially relevant","https://www.trimrender.com/","jobs@trimrender.com","","High","https://www.trimrender.com/get-in-touch-with-us","Architectural visualization collaboration with Trim Render","Hi Trim Render team,

My name is [name], and I’m building relationships with studios and independent artists whose work I could support when deadlines or project volume increase. I chose to write to Trim Render because your contact page explicitly includes both job opportunities and B2B collaboration, which makes a small trial or overflow assignment especially relevant.

I can start with a narrow assignment—such as preparing an exterior/interior scene, matching a reference, refining materials/lighting, or taking a render through revisions—so you can judge quality and reliability directly.

I’d be happy to begin with one small trial or overflow assignment so you can assess my speed, scene organization, responsiveness to feedback and final visual quality before considering anything larger. You can see my work at [portfolio]. If there is a suitable task, I’d be grateful for the chance to try it.

Best,
[name]"
"6","A+","IDAA Studio","Europe","Romania / Greece","Bucharest / Athens","Boutique archviz studio","Architectural stills, interiors, walkthroughs and 360 animation","your careers page says you are open to people who are serious about architectural visualization and encourages portfolio submissions","https://idaa3d.com/","careers@idaa3d.com","","High","https://idaa3d.com/contact/","3ds Max / archviz production support for IDAA Studio","Hi IDAA Studio team,

I’m [name], a 3D artist focused on architectural visualization, especially exterior/interior imagery and 3ds Max-based workflows. I’m reaching out because your careers page says you are open to people who are serious about architectural visualization and encourages portfolio submissions.

If you ever need extra capacity, I can take on a self-contained part of a architectural stills, interiors, walkthroughs and 360 animation project and work to your references, naming conventions and feedback process.

If it is useful, I’d be happy to complete a small, clearly scoped test assignment; I’m also open to an unpaid test if that is your normal evaluation process. My portfolio is here: [portfolio]. If my work looks relevant, please send me a task or tell me what you would want to test first.

Best regards,
[name]"
"7","A+","Atelier Crilo","Europe","Italy","Rome","Small studio (1–10)","High-end architectural visualization, illustration and animation","you invite applications and say portfolios are evaluated carefully even when a specific role is not open","https://www.ateliercrilo.com/","jobs@ateliercrilo.com","","High","https://www.ateliercrilo.com/contact","3D visualization support for Atelier Crilo","Hi Atelier Crilo team,

My name is [name]. I work in architectural visualization with a focus on exterior and interior scenes and 3ds Max production. I wanted to contact you specifically because you invite applications and say portfolios are evaluated carefully even when a specific role is not open.

My goal is to become the kind of external artist you can delegate a specific scene or image to when your internal team is busy, while keeping your creative direction and workflow intact.

If it is useful, I’d be happy to complete a small, clearly scoped test assignment; I’m also open to an unpaid test if that is your normal evaluation process. My portfolio is here: [portfolio]. If my work looks relevant, please send me a task or tell me what you would want to test first.

Thanks for taking a look,
[name]"
"8","A+","AOP Visualization Studio","Europe","Spain / Germany","Barcelona / Munich","Small studio (1–10)","Architectural visualization and competition imagery","you have stated that you are permanently looking for talented CGI artists on a freelance basis, which is very close to the type of project support I am seeking","https://architectureonpaper.com/","jobs@architectureonpaper.info","","High","https://architectureonpaper.com/","Portfolio + a small trial task for AOP Visualization Studio","Hi AOP Visualization Studio team,

I’m [name], and I’m looking to contribute to strong architectural visualization teams on a project or trial basis. AOP Visualization Studio stood out to me because you have stated that you are permanently looking for talented CGI artists on a freelance basis, which is very close to the type of project support I am seeking.

I’d be glad to help with a clearly defined part of your architectural visualization and competition imagery pipeline—modeling, scene setup, materials, lighting, camera work, rendering or revisions—depending on what is most useful to you.

I’d be happy to begin with one small trial or overflow assignment so you can assess my speed, scene organization, responsiveness to feedback and final visual quality before considering anything larger. You can see my work at [portfolio]. If there is a suitable task, I’d be grateful for the chance to try it.

Thanks — I’d be glad to hear what would be most useful to test.
[name]"
"9","A+","GDA-V","Europe","Portugal","Lisbon","Architectural visualization studio","3D architectural imagery and visualization","you have advertised for 3D Architectural Artists and ask candidates to send a CV and portfolio directly","https://gda-v.com/","job@gda-v.com","","High","https://gda-v.com/","Freelance archviz support — GDA-V","Hi GDA-V team,

I’m [name], a 3D visualization artist working with architectural exteriors, interiors and 3ds Max-based scenes. Rather than sending a generic application, I’m writing because you have advertised for 3D Architectural Artists and ask candidates to send a CV and portfolio directly.

I’m not asking you to commit to a full role. I’d prefer to prove fit through a small real production task related to 3d architectural imagery and visualization, with clear inputs, deadline and review criteria.

If it is useful, I’d be happy to complete a small, clearly scoped test assignment; I’m also open to an unpaid test if that is your normal evaluation process. My portfolio is here: [portfolio]. If my work looks relevant, please send me a task or tell me what you would want to test first.

Thank you for your time,
[name]"
"10","A+","Virtual Resolution","Europe","UK","Leeds area","Architectural visualization studio","Architectural CGI and visualization","you have recently said the studio is busy and looking for archviz artists, making this a good moment to offer production support","https://virtualresolution.co.uk/","jobs@virtualresolution.co.uk","","High","https://virtualresolution.co.uk/","Could I help with overflow 3D work at Virtual Resolution?","Hi Virtual Resolution team,

My name is [name], and I’m building relationships with studios and independent artists whose work I could support when deadlines or project volume increase. I chose to write to Virtual Resolution because you have recently said the studio is busy and looking for archviz artists, making this a good moment to offer production support.

I can start with a narrow assignment—such as preparing an exterior/interior scene, matching a reference, refining materials/lighting, or taking a render through revisions—so you can judge quality and reliability directly.

If it is useful, I’d be happy to complete a small, clearly scoped test assignment; I’m also open to an unpaid test if that is your normal evaluation process. My portfolio is here: [portfolio]. If my work looks relevant, please send me a task or tell me what you would want to test first.

Best,
[name]"
